Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
C. McInnes
CRO v CBY | MID
$692K  |  -$12k ( -$3k ), -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,, -$3k ,48,52.3,,,,,,,,,28,2,-2,,4,,4,,14,,,-2,,,,,
J. Preston
CBY @ CRO | EDG
$709K  |  $5k ( $9k ), $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,, $9k ,48,52.1,,,,,,,,,41,4,-2,,,,,,5,,,,,,,,
B. Brailey
CRO v CBY | HOK
$541K  |  -$90k ( -$89k ), -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,, -$89k ,45,43.6,,,,,,,,,38,,,,4,,4,,4,,,-4,,,,-1,
R. Mahoney
CBY @ CRO | HOK
$559K  |  -$21k ( -$25k ), -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,, -$25k ,43,49.7,,,,,,,,,49,,-10,,,,,,1,,1,,,,2,,
S. Katoa
CRO v CBY | WFB
$435K  |  -$2k ( $12k ), $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,, $12k ,43,36.8,,8,,,,,4,,9,10,-2,,,-2,,,13,,3,,,,,,
M. Burton
CBY @ CRO | HLF
$753K  |  $111k ( $126k ), $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,, $126k ,41,53.1,,,,2,,,4,,18,6,-8,,,-4,,,11,12,,,,,,,
W. Kennedy
CRO v CBY | WFB
