Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
S. Wong
SYD v BRI | EDG
$332K  |  -$112k ( -$112k ), -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,, -$112k ,44,25.8,,,,,,,,,37,4,-4,,,,4,,5,,,-2,,,,,
L. Keary
SYD v BRI | HLF
$482K  |  -$65k ( -$65k ), -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,, -$65k ,43,39,,,,,,,,,24,,-6,,12,,,,7,8,,-2,,,,,
P. Carrigan
BRI @ SYD | MID
$774K  |  -$17k ( -$17k ), -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,, -$17k ,41,57.4,,,,,,,,,23,,-10,,8,,4,,16,,,,,,,,
S. Walker
SYD v BRI | HLF
$595K  |  -$90k ( -$90k ), -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,, -$90k ,41,43,,,,8,,,,,21,,-8,,4,-2,,,4,13,1,,,,,,
L. Collins
SYD v BRI | MID
$494K  |  -$89k ( -$89k ), -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,, -$89k ,41,36.6,,,,,,,,,39,4,-10,,4,-2,,,9,,1,-4,,,,,
K. Staggs
BRI @ SYD | CTR
$564K  |  $13k ( $13k ), $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,, $13k ,41,37.3,,,5,,,,,,22,4,-4,2,,-4,4,,11,,1,,,,,,
J. Arthars
BRI @ SYD | CTR, WFB
