Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
W. Warbrick
MEL @ BRI | WFB
K. Koloamatangi
SOU v SYD | EDG, MID
$644K  |  -$17k ( -$38k ), -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,, -$38k ,46,51.8,,,,,,,,,31,,,,,-4,12,,8,,,,,,,-1,
S. Tupouniua
SYD @ SOU | MID, EDG
$441K  |  $20k ( $27k ), $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,, $27k ,45,27.8,,8,,,,5,4,2,31,,-12,,4,,,,4,,,,,,,-1,
P. Mamouzelos
SOU v SYD | HOK
$331K  |  -$4k ( $28k ), $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,, $28k ,44,23.9,,,,,,5,,2,30,,,,,,8,,,,,,,,,-1,
D. Hawkins
SOU v SYD | HLF
$436K  |  $17k ( -$4k ), -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,, -$4k ,43,33.3,,,,2,,,,,23,2,-4,,,-2,12,,4,6,,,,,,,
M. Nawaqanitawase
SYD @ SOU | WFB
$257K  |  $27k ( $27k ), $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2, $27k ,43,43,,8,,,,,,,10,6,,,4,-2,,,12,,3,,,,,,2
C. Walker
SOU v SYD | HLF
$489K  |  -$144k ( -$18k ), -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,, -$18k ,42,38.6,,8,,,,5,4,2,9,4,-4,,4,-2,,,9,3,,,,,,,
T. Burgess
SOU v SYD | MID
